customer_id,business_name,phone_number,address,contact_person,sector,business_description
CUST001,Sheba Textiles,+91 95260 18159,"15, Station Road, Vadodara, Gujarat",Anita Reddy,Retail - Textiles,"Founded 2008 by Sheba Menon. Core offerings: handloom sarees, cotton fabrics, custom tailoring. Est. annual revenue: INR 1-3 crore. Team size: 5-10 employees. Key contact: Gopal Naidu (Operations Head). Family-run business supplying wholesale to 40+ boutiques across Goa."
CUST002,Big Beats Studio,+91 98609 13909,"150, MG Road, Nagpur, Maharashtra",Neha Sharma,Media & Entertainment,"Founded 2015 by Ravi Sharma. Core offerings: music recording, mixing, podcast production. Est. annual revenue: INR 5-10 crore. Team size: 11-25 employees. Key contact: Mahesh Iyer (Finance Manager). Boutique studio popular with independent artists and ad agencies."
CUST003,Coastal Spice Traders,+91 98194 82199,"164, Ring Road, Kochi, Kerala",Meena Joshi,Food & Beverage - Export,"Founded 1998 by Anita Reddy. Core offerings: black pepper, cardamom, cinnamon exports. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 101-250 employees. Key contact: Anusha Reddy (COO). Exports to UAE and Europe; ISO 22000 certified facility."
CUST004,Zenith Logistics,+91 93786 57975,"77, Green Park Extension, Ahmedabad, Gujarat",Manoj Patel,Logistics,"Founded 2011 by Suresh Nair. Core offerings: freight forwarding, warehousing, last-mile delivery. Est. annual revenue: INR 10-25 crore. Team size: 51-100 employees. Key contact: Vikram Bhatt (Finance Manager). Operates 12 warehouses across South India, fleet of 80 trucks."
CUST005,Greenfield Agro,+91 95749 11862,"194, Link Road, Coimbatore, Tamil Nadu",Naveen Naidu,Agriculture,"Founded 2005 by Priya Iyer. Core offerings: organic rice, pulses, contract farming. Est. annual revenue: INR 10-25 crore. Team size: 26-50 employees. Key contact: Anita Reddy (COO). Works with 300+ farmer partners under a co-op model."
CUST006,Urban Nest Interiors,+91 95597 97114,"122, MG Road, Bengaluru, Karnataka",Ramesh Pillai,Interior Design,"Founded 2017 by Vikram Verma. Core offerings: residential interior design, modular kitchens. Est. annual revenue: INR 3-5 crore. Team size: 250+ employees. Key contact: Padma Bhatt (General Manager). Team of 15 designers; known for budget-friendly turnkey projects."
CUST007,Pixel Forge Studios,+91 96507 52917,"16, Green Park Extension, Kochi, Kerala",Rekha Iyer,Software / Gaming,"Founded 2019 by Meena Rao. Core offerings: mobile game development, UI/UX design. Est. annual revenue: INR 5-10 crore. Team size: 51-100 employees. Key contact: Jyoti Patel (General Manager). Self-funded studio with two published mobile titles."
CUST008,Sunrise Dairy Co-op,+91 91276 84268,"72, Ring Road, Surat, Gujarat",Sheetal Chatterjee,FMCG - Dairy,"Founded 1985 by Arjun Patel. Core offerings: milk, paneer, ghee, curd. Est. annual revenue: INR 1-3 crore. Team size: 11-25 employees. Key contact: Neha Iyer (Operations Head). Long-standing co-operative sourcing from 1,200 local dairy farmers."
CUST009,Metro Fitness Hub,+91 93307 92440,"38, Lake Side Avenue, Surat, Gujarat",Rajesh Rana,Health & Fitness,"Founded 2013 by Kavita Kapoor. Core offerings: gym memberships, personal training, group classes. Est. annual revenue: INR 25-50 crore. Team size: 101-250 employees. Key contact: Geeta Gupta (Sales Manager). Three branches across the city, ~2,500 active members."
CUST010,Coral Bay Resorts,+91 99078 66661,"124, MG Road, Nagpur, Maharashtra",Sunita Reddy,Hospitality,"Founded 2009 by Rahul Pillai. Core offerings: beach resort rooms, event hosting, dining. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 26-50 employees. Key contact: Vijay Bose (Sales Manager). 60-room resort with banquet hall for weddings and conferences."
